,MVT_GT_Phoenix AZ
2017-01-01,41.0
2017-01-15,20.0
2017-01-22,31.0
2017-01-29,20.0
2017-02-05,29.0
2017-02-12,25.0
2017-02-19,16.0
2017-02-26,23.0
2017-03-19,47.0
2017-03-26,35.0
2017-04-02,28.0
2017-04-23,24.0
2017-05-07,41.0
2017-05-14,19.0
2017-05-21,100.0
2017-06-11,35.0
2017-06-18,24.0
2017-07-16,62.0
2017-07-23,24.0
2017-07-30,87.0
2017-08-06,39.0
2017-08-13,79.0
2017-08-20,19.0
2017-09-03,21.0
2017-09-10,30.0
2017-09-17,62.0
2017-09-24,16.0
2017-10-01,24.0
2017-10-15,32.0
2017-10-29,19.0
2017-11-05,27.0
2017-11-12,44.0
2017-11-19,20.0
2017-12-03,41.0
2017-12-10,40.0
2017-12-17,32.0
2017-12-24,67.0
2017-12-31,29.0
2018-02-18,17.0
2018-02-25,38.0
2018-03-25,19.0
2018-04-01,14.0
2018-04-08,31.0
2018-04-15,17.0
2018-04-22,16.0
2018-04-29,23.0
2018-05-06,21.0
2018-05-13,30.0
2018-05-20,21.0
2018-06-03,29.0
2018-06-10,17.0
2018-06-24,17.0
2018-07-01,63.0
2018-07-08,26.0
2018-07-15,29.0
2018-07-22,24.0
2018-07-29,27.0
2018-08-12,28.0
2018-08-19,16.0
2018-08-26,35.0
2018-09-16,26.0
2018-09-30,41.0
2018-10-28,50.0
2018-11-04,31.0
2018-11-18,19.0
2018-11-25,65.0
2018-12-16,26.0
2018-12-23,45.0
2019-01-06,55.0
2019-01-13,28.0
2019-02-17,27.0
2019-02-24,37.0
2019-03-10,33.0
2019-03-17,23.0
2019-03-31,18.0
2019-04-07,32.0
2019-05-26,29.0
2019-06-30,22.0
2019-07-07,81.0
2019-07-14,63.0
2019-07-21,32.0
2019-07-28,32.0
2019-08-04,100.0
2019-08-18,22.0
2019-09-08,16.0
2019-09-22,13.0
2019-09-29,24.0
2019-10-20,31.0
2019-11-03,21.0
2019-11-10,17.0
2019-11-24,19.0
2019-12-01,30.0
2019-12-08,22.0
2019-12-22,33.0
2019-12-29,25.0
2020-01-05,62.0
2020-01-12,20.0
2020-01-19,40.0
2020-01-26,22.0
2020-02-02,26.0
2020-02-09,31.0
2020-02-16,23.0
2020-02-23,16.0
2020-03-01,40.0
2020-03-08,27.0
2020-03-22,18.0
2020-03-29,33.0
2020-04-05,14.0
2020-04-12,27.0
2020-04-19,17.0
2020-04-26,17.0
2020-05-10,20.0
2020-05-17,52.0
2020-05-24,20.0
2020-05-31,34.0
2020-06-07,71.0
2020-06-14,17.0
2020-06-28,17.0
2020-07-05,32.0
2020-07-12,17.0
2020-07-19,29.0
2020-07-26,42.0
2020-08-02,22.0
2020-08-16,49.0
2020-08-30,33.0
2020-09-06,31.0
2020-09-13,22.0
2020-09-20,53.0
2020-09-27,14.0
2020-10-04,22.0
2020-10-11,14.0
2020-10-25,40.0
2020-11-08,21.0
2020-11-15,47.0
2020-11-22,13.0
2020-12-06,27.0
2020-12-13,18.0
2020-12-20,77.0
2021-01-03,15.0
2021-01-10,22.0
2021-01-17,35.0
2021-01-24,19.0
2021-01-31,67.0
2021-02-14,28.0
2021-02-21,37.0
2021-02-28,46.0
2021-03-21,26.0
2021-04-04,28.0
2021-04-11,52.0
2021-04-18,37.0
2021-05-02,20.0
2021-05-09,42.0
2021-05-16,30.0
2021-05-23,29.0
2021-05-30,31.0
2021-07-18,26.0
2021-08-01,29.0
2021-08-15,37.0
2021-08-22,17.0
2021-09-05,61.0
2021-09-19,38.0
2021-09-26,26.0
2021-10-03,39.0
2021-10-17,23.0
2021-10-24,84.0
2021-11-14,16.0
2021-11-21,14.0
2021-11-28,15.0
2021-12-12,22.0
2022-01-02,93.0
2022-01-23,37.0
2022-01-30,30.0
2022-02-06,27.0
2022-02-13,53.0
2022-02-20,15.0
2022-02-27,13.0
2022-03-06,35.0
2022-03-13,48.0
2022-03-27,39.0
2022-04-03,18.0
2022-04-10,30.0
2022-05-01,10.0
2022-05-08,46.0
2022-05-15,13.0
2022-05-22,20.0
2022-05-29,36.0
2022-06-12,19.0
2022-06-19,33.0
2022-06-26,16.0
2022-07-03,62.0
2022-07-10,23.0
2022-07-17,32.0
2022-07-24,43.0
2022-07-31,63.0
2022-08-07,12.0
2022-08-14,35.0
2022-08-21,18.0
2022-09-04,31.0
2022-09-11,25.0
2022-09-18,33.0
2022-09-25,31.0
2022-10-02,39.0
2022-10-16,13.0
2022-10-23,27.0
2022-10-30,26.0
2022-11-13,24.0
2022-11-20,16.0
2022-11-27,32.0
2022-12-11,50.0
