,MVT_GT_Detroit MI
2017-01-08,22.0
2017-01-15,48.0
2017-01-22,49.0
2017-01-29,53.0
2017-02-05,53.0
2017-02-12,62.0
2017-02-19,63.0
2017-03-05,47.0
2017-03-12,29.0
2017-03-26,22.0
2017-04-02,46.0
2017-04-09,32.0
2017-04-23,62.0
2017-05-14,25.0
2017-06-11,17.0
2017-06-18,23.0
2017-07-02,57.0
2017-07-16,41.0
2017-07-23,24.0
2017-07-30,44.0
2017-08-06,40.0
2017-08-13,38.0
2017-08-20,25.0
2017-08-27,48.0
2017-09-17,24.0
2017-10-08,47.0
2017-11-05,40.0
2017-11-26,35.0
2017-12-03,31.0
2017-12-17,37.0
2017-12-31,60.0
2018-01-07,41.844746364484536
2018-01-14,40.257851437194844
2018-01-28,30.0
2018-02-04,34.0
2018-02-25,21.0
2018-03-25,35.0
2018-04-08,73.0
2018-04-22,57.25926810953196
2018-04-29,26.911688400373194
2018-05-13,25.759268109531956
2018-05-20,32.45442752784948
2018-05-27,36.0
2018-06-10,22.97721376392474
2018-06-24,39.58547825495258
2018-07-01,43.0
2018-07-29,48.0
2018-08-12,52.75643476485772
2018-09-09,68.99574998298866
2018-09-16,23.0
2018-09-30,57.25643476485772
2018-10-07,27.0
2018-12-30,68.68949272896907
2019-01-20,42.69374274598041
2019-02-03,32.0
2019-02-24,27.824793473083503
2019-03-03,46.62821738242886
2019-03-10,19.0
2019-03-31,39.91027172803608
2019-04-21,29.0
2019-04-28,43.0
2019-05-05,27.0
2019-05-12,31.824793473083503
2019-05-19,69.0
2019-05-26,35.75926810953196
2019-06-09,34.08547825495258
2019-06-16,41.69374274598041
2019-06-30,49.0
2019-07-21,36.562692018877314
2019-07-28,36.32337680074639
2019-08-04,43.91027172803608
2019-08-11,66.43164129177421
2019-08-18,39.60684781869072
2019-08-25,52.0
2019-09-01,25.0
2019-09-15,18.0
2019-09-29,47.17095650990515
2019-10-20,39.67237318224227
2019-10-27,33.84616303682165
2019-11-17,34.73789854579381
2019-12-01,22.0
2019-12-08,25.606847818690717
2019-12-29,23.0
2020-01-05,45.149586946167005
2020-01-12,60.779221000932985
2020-01-19,33.0
2020-02-09,52.800590564671126
2020-02-23,40.8247934730835
2020-03-15,19.0
2020-03-29,32.0
2020-04-19,37.149586946167005
2020-05-03,25.39031883663505
2020-05-10,32.75926810953196
2020-05-24,22.89031883663505
2020-05-31,39.88890216429793
2020-06-07,25.89031883663505
2020-06-28,37.21511230971855
2020-07-05,15.0
2020-07-19,39.0
2020-07-26,26.346163036821647
2020-08-02,64.0
2020-08-16,33.62821738242886
2020-08-30,36.67095650990515
2020-09-06,28.0
2020-09-20,32.0
2020-10-04,24.0
2020-10-11,59.0
2020-10-25,41.71511230971855
2020-11-08,29.672373182242268
2020-11-22,57.17237318224227
2020-11-29,21.998583327662885
2020-12-06,25.998583327662885
2020-12-13,23.585478254952577
2020-12-27,19.0
2021-01-10,39.47579709158762
2021-01-24,38.7806376732701
2021-02-28,85.80059056467113
2021-04-04,25.933057964111338
2021-04-11,33.062692018877314
2021-04-18,49.01995289140103
2021-04-25,47.649586946167005
2021-05-02,85.03848911046494
2021-05-09,40.0
2021-05-23,38.51995289140103
2021-06-06,20.0
2021-06-13,46.0
2021-06-20,26.0
2021-06-27,51.75643476485772
2021-07-04,26.411688400373194
2021-07-11,50.779221000932985
2021-07-18,35.0
2021-08-01,47.82337680074639
2021-08-08,23.97721376392474
2021-08-15,27.606847818690717
2021-08-22,74.0
2021-08-29,20.0
2021-09-05,19.0
