,MVT_GT_Sacramento-Stockton-Modesto CA
2017-01-01,49.0
2017-01-08,56.0
2017-01-15,36.0
2017-01-22,29.0
2017-01-29,44.0
2017-02-05,18.0
2017-02-12,39.0
2017-02-19,38.0
2017-02-26,44.0
2017-03-05,34.0
2017-03-12,36.0
2017-03-19,22.0
2017-03-26,42.0
2017-04-02,37.0
2017-04-09,55.0
2017-04-16,25.0
2017-04-23,46.0
2017-04-30,27.0
2017-05-07,31.0
2017-05-14,26.0
2017-05-21,49.0
2017-05-28,29.0
2017-06-04,33.0
2017-06-11,22.0
2017-06-18,35.0
2017-06-25,59.0
2017-07-02,44.0
2017-07-09,45.0
2017-07-16,24.0
2017-07-23,13.0
2017-07-30,40.0
2017-08-06,32.0
2017-08-13,43.0
2017-08-20,15.0
2017-08-27,22.0
2017-09-03,39.0
2017-09-10,12.0
2017-09-17,30.0
2017-09-24,31.0
2017-10-01,29.0
2017-10-08,33.0
2017-10-15,36.0
2017-10-22,36.0
2017-10-29,32.0
2017-11-05,21.0
2017-11-12,38.0
2017-11-19,39.0
2017-11-26,18.0
2017-12-03,14.0
2017-12-10,46.0
2017-12-17,32.0
2017-12-24,22.0
2017-12-31,18.0
2018-01-14,52.0
2018-01-21,37.0
2018-01-28,27.0
2018-02-04,65.0
2018-02-11,24.0
2018-02-25,28.0
2018-03-04,20.0
2018-03-11,21.0
2018-03-18,13.0
2018-03-25,51.0
2018-04-01,34.0
2018-04-08,51.0
2018-04-15,36.0
2018-04-22,65.0
2018-04-29,46.0
2018-05-13,27.0
2018-05-20,34.0
2018-05-27,23.0
2018-06-03,27.0
2018-06-10,15.0
2018-06-17,16.0
2018-06-24,30.0
2018-07-01,37.0
2018-07-08,40.0
2018-07-15,17.0
2018-07-22,21.0
2018-07-29,33.0
2018-08-05,23.0
2018-08-12,26.0
2018-08-19,16.0
2018-08-26,33.0
2018-09-02,13.0
2018-09-09,26.0
2018-09-16,36.0
2018-09-23,16.0
2018-09-30,36.0
2018-10-07,52.0
2018-10-14,23.0
2018-10-21,15.0
2018-10-28,42.0
2018-11-11,32.0
2018-11-18,39.0
2018-11-25,23.0
2018-12-02,24.0
2018-12-09,13.0
2018-12-16,25.0
2018-12-23,65.0
2018-12-30,10.0
2019-01-06,17.0
2019-01-13,10.0
2019-01-20,21.0
2019-01-27,35.0
2019-02-03,33.0
2019-02-10,49.0
2019-02-17,35.0
2019-02-24,32.0
2019-03-03,42.0
2019-03-17,52.0
2019-03-24,36.0
2019-04-07,17.0
2019-04-14,28.0
2019-04-21,48.0
2019-04-28,33.0
2019-05-05,37.0
2019-05-12,27.0
2019-05-19,64.0
2019-05-26,29.0
2019-06-02,15.0
2019-06-09,47.0
2019-06-16,26.0
2019-06-23,18.0
2019-06-30,13.0
2019-07-07,37.0
2019-07-14,35.0
2019-07-28,34.0
2019-08-04,35.0
2019-08-11,48.0
2019-08-18,24.0
2019-09-01,40.0
2019-09-08,13.0
2019-09-15,23.0
2019-09-22,13.0
2019-09-29,30.0
2019-10-06,38.0
2019-10-13,21.0
2019-10-20,27.0
2019-10-27,33.0
2019-11-03,23.0
2019-11-10,30.0
2019-11-17,31.0
2019-11-24,60.0
2019-12-01,21.0
2019-12-08,28.0
2019-12-15,24.0
2019-12-22,28.0
2019-12-29,40.0
2020-01-12,23.0
2020-01-19,30.0
2020-01-26,27.0
2020-02-02,18.0
2020-02-09,22.0
2020-02-16,21.0
2020-02-23,38.0
2020-03-01,38.0
2020-03-15,12.0
2020-03-22,25.0
2020-03-29,23.0
2020-04-05,33.0
2020-04-12,17.0
2020-04-19,37.0
2020-04-26,30.0
2020-05-03,7.0
2020-05-10,11.0
2020-05-17,30.0
2020-05-24,36.0
2020-05-31,61.0
2020-06-07,43.0
2020-06-14,26.0
2020-06-21,41.0
2020-06-28,21.0
2020-07-05,17.0
2020-07-12,29.0
2020-07-26,36.0
2020-08-02,25.0
2020-08-09,23.0
2020-08-16,39.0
2020-08-23,24.0
2020-08-30,24.0
2020-09-06,25.0
2020-09-13,14.0
2020-09-20,38.0
2020-09-27,13.0
2020-10-04,41.0
2020-10-11,12.0
2020-10-18,15.0
2020-10-25,25.0
2020-11-01,18.0
2020-11-08,26.0
2020-11-15,24.0
2020-11-22,35.0
2020-11-29,33.0
2020-12-06,17.0
2020-12-13,30.0
2020-12-20,57.0
2020-12-27,26.0
2021-01-03,40.0
2021-01-10,42.0
2021-01-17,43.0
2021-01-24,15.0
2021-01-31,19.0
2021-02-07,62.0
2021-02-14,30.0
2021-02-21,27.0
2021-03-14,14.0
2021-03-21,26.0
2021-03-28,45.0
2021-04-04,41.0
2021-04-11,19.0
2021-04-18,32.0
2021-04-25,19.0
2021-05-02,29.0
2021-05-09,40.0
2021-05-16,25.0
2021-05-23,29.0
2021-05-30,39.0
2021-06-06,15.0
2021-06-13,26.0
2021-06-20,31.0
2021-06-27,11.0
2021-07-04,100.0
2021-07-11,23.0
2021-07-18,41.0
2021-07-25,52.0
2021-08-01,74.0
2021-08-08,46.0
2021-08-15,41.0
2021-08-22,35.0
2021-08-29,34.0
2021-09-05,73.0
2021-09-12,24.0
2021-09-19,21.0
2021-09-26,26.0
2021-10-10,25.0
2021-10-24,34.0
2021-10-31,40.0
2021-11-07,33.0
2021-11-14,42.0
2021-11-21,16.0
2021-11-28,25.0
2021-12-05,28.0
2021-12-19,56.0
2021-12-26,37.0
2022-01-09,37.0
2022-01-16,65.0
2022-01-23,51.0
2022-01-30,49.0
2022-02-06,41.0
2022-02-13,23.0
2022-02-20,28.0
2022-02-27,33.0
2022-03-06,39.0
2022-03-13,32.0
2022-03-20,31.0
2022-03-27,44.0
2022-04-03,60.0
2022-04-10,25.0
2022-04-17,40.0
2022-04-24,27.0
2022-05-01,44.0
2022-05-08,24.0
2022-05-15,23.0
2022-05-22,39.0
2022-05-29,42.0
2022-06-05,38.0
2022-06-12,63.0
2022-06-19,36.0
2022-06-26,25.0
2022-07-10,47.0
2022-07-17,48.0
2022-07-24,41.0
2022-07-31,34.0
2022-08-07,43.0
2022-08-14,30.0
2022-08-21,59.0
2022-08-28,43.0
2022-09-04,43.0
2022-09-11,52.0
2022-09-18,25.0
2022-09-25,54.0
2022-10-02,30.0
2022-10-09,45.0
2022-10-16,51.0
2022-10-23,46.0
2022-10-30,18.0
2022-11-06,33.0
2022-11-13,50.0
2022-11-20,25.0
2022-11-27,69.0
2022-12-04,17.0
2022-12-11,28.0
2022-12-25,33.0
