,MVT_GT_San Francisco-Oakland-San Jose CA
2017-01-01,58.0
2017-01-08,34.0
2017-01-15,43.0
2017-01-22,36.0
2017-01-29,41.0
2017-02-05,48.0
2017-02-12,55.0
2017-02-19,31.0
2017-02-26,67.0
2017-03-05,14.0
2017-03-12,38.0
2017-03-19,55.0
2017-03-26,23.0
2017-04-02,46.0
2017-04-09,83.0
2017-04-16,28.0
2017-04-23,40.0
2017-04-30,49.0
2017-05-07,58.0
2017-05-14,71.0
2017-05-21,42.0
2017-05-28,21.0
2017-06-04,14.0
2017-06-11,23.0
2017-06-18,29.0
2017-06-25,57.0
2017-07-02,47.0
2017-07-09,18.0
2017-07-16,43.0
2017-07-23,14.0
2017-07-30,95.0
2017-08-06,48.0
2017-08-13,41.0
2017-08-20,32.0
2017-08-27,42.0
2017-09-03,58.0
2017-09-10,28.0
2017-09-17,19.0
2017-09-24,46.0
2017-10-01,39.0
2017-10-08,33.0
2017-10-15,41.0
2017-10-22,75.0
2017-11-05,31.0
2017-11-12,54.0
2017-11-19,23.0
2017-11-26,27.0
2017-12-03,37.0
2017-12-10,38.0
2017-12-17,51.0
2017-12-31,41.0
2018-01-14,85.81283859135686
2018-01-21,34.683544198048324
2018-01-28,36.47287509763011
2018-02-04,55.70886049512082
2018-02-11,27.0
2018-02-18,24.894213298466543
2018-02-25,55.41862529289033
2018-03-04,47.55063259414498
2018-03-11,24.762205997211893
2018-03-25,39.57775749651487
2018-04-01,33.13019869595725
2018-04-08,59.603073793587356
2018-04-15,70.04972829149628
2018-04-22,52.20886049512082
2018-04-29,36.44575019526022
2018-05-06,35.13019869595725
2018-05-13,54.68263989539963
2018-05-20,84.04882398884757
2018-05-27,39.0
2018-06-03,50.68263989539963
2018-06-17,50.02441199442379
2018-06-24,22.709764797769516
2018-07-01,67.91862529289034
2018-07-08,50.07775749651487
2018-07-15,28.4990956973513
2018-07-29,34.13019869595725
2018-08-05,50.60397809623606
2018-08-12,49.41952959553903
2018-08-19,31.0
2018-08-26,40.52441199442379
2018-09-02,35.867088396096655
2018-09-09,33.81464719665428
2018-09-16,32.47287509763011
2018-09-30,43.15641929567843
2018-10-07,61.57685319386617
2018-10-14,34.63110299860595
2018-10-21,28.631102998605947
2018-10-28,44.52441199442379
2018-11-04,15.0
2018-11-18,27.209764797769516
2018-11-25,56.55063259414498
2018-12-02,34.76220599721189
2018-12-09,16.0
2018-12-16,38.683544198048324
2018-12-23,60.103073793587356
2019-01-06,28.288426596933085
2019-01-13,25.52531629707249
2019-01-20,55.735081094842
2019-01-27,55.52441199442379
2019-02-03,59.65641929567843
2019-02-10,36.68263989539963
2019-02-17,53.02441199442379
2019-02-24,63.603073793587356
2019-03-03,37.31464719665428
2019-03-10,22.65732359832714
2019-03-17,32.68263989539963
2019-03-24,34.81464719665428
2019-03-31,54.366184093447956
2019-04-07,34.07775749651487
2019-04-14,36.55153689679368
2019-04-21,37.367088396096655
2019-04-28,30.47287509763011
2019-05-05,73.04972829149628
2019-05-12,31.340867796375463
2019-05-19,40.34086779637546
2019-05-26,28.0
2019-06-02,40.63019869595725
2019-06-09,73.2603973919145
2019-06-16,24.0
2019-06-23,23.762205997211893
2019-06-30,47.91952959553903
2019-07-07,38.70886049512082
2019-07-14,29.946654497908924
2019-07-21,26.97287509763011
2019-07-28,44.81464719665428
2019-08-04,48.39240469316914
2019-08-11,59.787522294284386
2019-08-18,71.65641929567843
2019-08-25,36.57775749651487
2019-09-01,51.9981913947026
2019-09-08,36.39330899581785
2019-09-15,34.76220599721189
2019-09-29,15.131102998605947
2019-10-06,33.94665449790892
2019-10-13,35.9990956973513
2019-10-20,42.91952959553903
2019-10-27,78.62929439330856
2019-11-03,41.15641929567843
2019-11-10,55.20886049512082
2019-11-17,36.07775749651487
2019-11-24,51.20886049512082
2019-12-01,47.76220599721189
