,MVT_GT_Portland OR
2017-01-08,18.0
2017-01-15,18.0
2017-02-12,24.0
2017-02-26,27.0
2017-03-05,23.0
2017-03-12,16.0
2017-03-19,42.0
2017-04-02,51.0
2017-04-16,38.0
2017-04-23,61.0
2017-04-30,25.0
2017-05-07,81.0
2017-05-14,30.0
2017-05-21,46.0
2017-05-28,31.0
2017-06-04,27.0
2017-06-11,53.0
2017-06-18,17.0
2017-07-09,45.0
2017-07-16,32.0
2017-07-23,49.0
2017-07-30,32.0
2017-08-13,32.0
2017-08-27,54.0
2017-09-03,28.0
2017-10-01,42.0
2017-10-22,18.0
2017-10-29,26.0
2017-11-05,43.0
2017-11-12,25.0
2017-11-26,17.0
2017-12-03,22.0
2017-12-17,18.0
2018-01-07,34.526135705021744
2018-01-21,29.0
2018-02-04,50.07062856002676
2018-02-11,51.0
2018-03-04,48.0
2018-03-11,19.0
2018-03-18,30.133478565015054
2018-04-08,48.289203557532616
2018-04-29,37.611232137512545
2018-05-06,32.0
2018-05-20,37.22246427502509
2018-06-10,45.7447107025276
2018-06-17,43.396546417525926
2018-06-24,40.04838213252425
2018-07-01,19.0
2018-07-15,42.0
2018-07-22,34.95939642251422
2018-07-29,65.70799640256104
2018-08-05,64.03391426006021
2018-08-26,38.0
2018-09-02,43.94103927253094
2018-09-16,93.0
2018-09-23,34.0
2018-09-30,85.62289997007025
2018-10-07,65.90043569504516
2018-10-14,27.28531428001338
2018-10-21,63.185749975058535
2018-10-28,88.01166783255769
2018-11-04,55.14125712005352
2018-11-11,29.981642850016726
2018-11-18,47.378189267542645
2018-11-25,39.54838213252425
2018-12-30,35.0
2019-01-20,24.80756070751589
2019-02-10,50.70410712504181
2019-02-17,27.200217847522577
2019-02-24,93.81533926255435
2019-03-03,41.0
2019-03-10,47.289203557532616
2019-04-28,21.0
2019-05-05,34.0
2019-05-19,35.26695713003011
2019-05-26,40.0
2019-06-02,46.833696412537634
2019-06-09,60.54838213252425
2019-06-16,62.748599980046826
2019-06-23,21.459396422514217
2019-06-30,46.026135705021744
2019-07-28,22.0
2019-08-04,60.685749975058535
2019-08-11,43.0
2019-08-25,85.0
2019-09-15,54.0
2019-09-22,36.503889277519235
2019-09-29,24.959396422514217
2019-10-06,35.0
2019-10-20,31.0
2019-10-27,29.54838213252425
2019-11-03,18.43714999501171
2019-11-10,33.70021784752258
2019-11-17,34.918792845028435
2019-11-24,17.0
2019-12-01,19.0
