,MVT_GT_Los Angeles CA
2017-01-01,43.0
2017-01-08,58.0
2017-01-15,69.0
2017-01-22,31.0
2017-01-29,44.0
2017-02-05,42.0
2017-02-12,39.0
2017-02-19,40.0
2017-02-26,48.0
2017-03-05,51.0
2017-03-12,9.0
2017-03-19,71.0
2017-03-26,32.0
2017-04-02,54.0
2017-04-09,50.0
2017-04-16,62.0
2017-04-23,15.0
2017-04-30,46.0
2017-05-07,59.0
2017-05-14,43.0
2017-05-21,60.0
2017-05-28,50.0
2017-06-04,32.0
2017-06-11,71.0
2017-06-18,42.0
2017-06-25,61.0
2017-07-02,63.0
2017-07-09,43.0
2017-07-16,47.0
2017-07-23,61.0
2017-07-30,62.0
2017-08-06,68.0
2017-08-13,100.0
2017-08-20,44.0
2017-08-27,33.0
2017-09-03,45.0
2017-09-10,53.0
2017-09-17,31.0
2017-09-24,64.0
2017-10-01,54.0
2017-10-08,33.0
2017-10-15,68.0
2017-10-22,54.0
2017-10-29,81.0
2017-11-05,39.0
2017-11-12,71.0
2017-11-19,47.0
2017-11-26,86.0
2017-12-03,42.0
2017-12-10,45.0
2017-12-17,34.0
2017-12-24,73.0
2017-12-31,52.0
2018-01-07,30.09017933473904
2018-01-14,27.97238827290652
2018-01-21,58.06256760764556
2018-01-28,69.15152291680818
2018-02-04,73.88710504047322
2018-02-11,54.38588101489678
2018-02-18,70.71041844772444
2018-02-25,63.85704526222686
2018-03-04,54.88588101489678
2018-03-11,29.03128380382278
2018-03-18,39.06134358206913
2018-03-25,54.88588101489678
2018-04-01,64.41594079314312
2018-04-08,51.209194422147995
2018-04-15,55.44477654581304
2018-04-22,27.97238827290652
2018-04-29,40.12023911298539
2018-05-06,77.063791633222
2018-05-13,70.71041844772444
2018-05-20,80.74047822597078
2018-05-27,62.7981497313106
2018-06-03,69.65152291680818
2018-06-10,48.03250782939921
2018-06-17,37.50244805115287
2018-06-24,53.326985483980515
2018-07-01,26.413492741990257
2018-07-08,53.326985483980515
2018-07-15,78.12268716413826
2018-07-22,48.03250782939921
2018-07-29,45.91471676756669
2018-08-05,33.26686592748783
2018-08-12,68.09262738589192
2018-08-19,53.826985483980515
2018-08-26,49.091403360315475
2018-09-02,50.650298891231735
2018-09-09,25.854597211073997
2018-09-16,43.79692570573417
2018-09-23,69.15152291680818
2018-09-30,59.62146313856182
